Image_Name,Image_Size,Is_Cubic,Euclidean_Error
2024-07-11_14-13-51,320*240,No,27.2441
2024-07-10_15-38-54,320*240,No,35.9089
2024-07-10_15-50-55,320*240,No,37.224
2024-07-11_14-15-08,320*240,No,41.5679
2024-07-11_14-12-14,320*240,No,30.6466
2024-07-10_15-52-36,320*240,No,46.9076
2024-07-10_15-51-48,320*240,No,36.3481
2024-07-11_14-17-18,320*240,No,50.1794
2024-07-11_14-10-53,320*240,No,31.0445
2024-07-10_15-51-21,320*240,No,42.9563
2024-07-11_14-19-12,320*240,No,37.1371
2024-07-11_14-18-28,320*240,No,51.3696
2024-07-11_14-17-59,320*240,No,36.0596
2024-07-11_14-03-31,320*240,No,47.9321
2024-07-10_15-54-07,320*240,No,24.0898
2024-07-10_15-43-56,320*240,No,23.9331
2024-07-10_15-52-37,320*240,No,34.3968
2024-07-11_14-16-32,320*240,No,30.3972
2024-07-10_15-41-46,320*240,No,36.5001
2024-07-10_15-43-03,320*240,No,34.3441
2024-07-10_15-40-03,320*240,No,30.3805
2024-07-10_15-51-45,320*240,No,30.6596
2024-07-10_15-40-53,320*240,No,46.6812
2024-07-11_14-13-12,320*240,No,26.7975
2024-07-11_14-06-07,320*240,No,81.5323
2024-07-11_14-14-24,320*240,No,48.451
2024-07-10_15-44-58,320*240,No,32.216
2024-07-11_14-02-35,320*240,No,24.5681
2024-07-10_15-53-12,320*240,No,27.5274
2024-07-10_15-48-15,320*240,No,36.5173
2024-07-11_14-05-35,320*240,No,32.0918
2024-07-11_14-04-22,320*240,No,37.2381

2024-07-11_14-13-51,320*240,Yes,23.2268
2024-07-10_15-38-54,320*240,Yes,39.9296
2024-07-10_15-50-55,320*240,Yes,40.1053
2024-07-11_14-15-08,320*240,Yes,34.2559
2024-07-11_14-12-14,320*240,Yes,36.73
2024-07-10_15-52-36,320*240,Yes,31.4808
2024-07-10_15-51-48,320*240,Yes,91.3323
2024-07-11_14-17-18,320*240,Yes,57.8929
2024-07-11_14-10-53,320*240,Yes,31.8485
2024-07-10_15-51-21,320*240,Yes,30.5897
2024-07-11_14-19-12,320*240,Yes,40.1486
2024-07-11_14-18-28,320*240,Yes,49.1696
2024-07-11_14-17-59,320*240,Yes,33.4924
2024-07-11_14-03-31,320*240,Yes,68.7811
2024-07-10_15-54-07,320*240,Yes,24.8594
2024-07-10_15-43-56,320*240,Yes,23.5569
2024-07-10_15-52-37,320*240,Yes,30.3935
2024-07-11_14-16-32,320*240,Yes,33.2162
2024-07-10_15-41-46,320*240,Yes,35.3619
2024-07-10_15-43-03,320*240,Yes,36.4867
2024-07-10_15-40-03,320*240,Yes,31.7122
2024-07-10_15-51-45,320*240,Yes,28.0812
2024-07-10_15-40-53,320*240,Yes,52.6541
2024-07-11_14-13-12,320*240,Yes,33.9695
2024-07-11_14-06-07,320*240,Yes,83.6753
2024-07-11_14-14-24,320*240,Yes,49.6921
2024-07-10_15-44-58,320*240,Yes,45.4971
2024-07-11_14-02-35,320*240,Yes,24.3697
2024-07-10_15-53-12,320*240,Yes,35.8189
2024-07-10_15-48-15,320*240,Yes,45.1672
2024-07-11_14-05-35,320*240,Yes,35.2767
2024-07-11_14-04-22,320*240,Yes,41.5857
